[26-02-2022 04:40:19] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:40:19] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:40:19] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:40:19] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:41:37] | dev | INFO    | Classes have been mapped
[26-02-2022 04:41:37] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:41:37] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:41:37] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:41:37] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:44:00] | dev | INFO    | Classes have been mapped
[26-02-2022 04:44:00] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:44:00] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:44:00] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:44:00] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:44:58] | dev | INFO    | Classes have been mapped
[26-02-2022 04:44:58] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:44:58] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:44:58] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:44:58] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:45:46] | dev | INFO    | Classes have been mapped
[26-02-2022 04:45:46] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:45:46] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:45:46] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:45:46] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:46:19] | dev | INFO    | Classes have been mapped
[26-02-2022 04:46:19] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:46:19] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:46:19] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:46:19] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:46:40] | dev | INFO    | Classes have been mapped
[26-02-2022 04:46:40] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:46:40] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:46:40] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:46:40] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:49:58] | dev | INFO    | Classes have been mapped
[26-02-2022 04:49:58] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:50:39] | dev | INFO    | Classes have been mapped
[26-02-2022 04:50:39] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:50:39] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:50:39] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:50:39] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:50:39] | dev | INFO    | DELETE operation request ...
[26-02-2022 04:51:20] | dev | INFO    | Classes have been mapped
[26-02-2022 04:51:20] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:51:20] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:51:20] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:51:20] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:51:20] | dev | INFO    | DELETE operation request ...
[26-02-2022 04:53:08] | dev | INFO    | Classes have been mapped
[26-02-2022 04:53:08] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:53:08] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:53:08] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:53:08] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:53:08] | dev | INFO    | DELETE operation request ...
[26-02-2022 04:54:11] | dev | INFO    | Classes have been mapped
[26-02-2022 04:54:11] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:54:11] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:54:11] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:54:11] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:54:11] | dev | INFO    | DELETE operation request ...
[26-02-2022 04:56:39] | dev | INFO    | Classes have been mapped
[26-02-2022 04:56:39] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:56:39] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:56:39] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:56:39] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:56:39] | dev | INFO    | DELETE operation request ...
[26-02-2022 04:57:01] | dev | INFO    | Classes have been mapped
[26-02-2022 04:57:01] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:57:01] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:57:01] | dev | INFO    | INSERT operation request ...
[26-02-2022 04:57:01] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 04:57:01] | dev | INFO    | DELETE operation request ...
[26-02-2022 05:00:54] | dev | INFO    | Classes have been mapped
[26-02-2022 05:00:54] | dev | INFO    | INSERT operation request ...
[26-02-2022 05:00:54] | dev | INFO    | INSERT operation request ...
[26-02-2022 05:00:54] | dev | INFO    | INSERT operation request ...
[26-02-2022 05:00:54] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 05:00:54] | dev | INFO    | DELETE operation request ...
[26-02-2022 05:01:18] | dev | INFO    | Classes have been mapped
[26-02-2022 05:01:18] | dev | INFO    | INSERT operation request ...
[26-02-2022 05:01:18] | dev | INFO    | INSERT operation request ...
[26-02-2022 05:01:18] | dev | INFO    | INSERT operation request ...
[26-02-2022 05:01:18] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 05:01:18] | dev | INFO    | DELETE operation request ...
[26-02-2022 18:47:01] | dev | INFO    | Classes have been mapped
[26-02-2022 18:47:01] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:47:01] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:47:02] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:47:02] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 18:47:02] | dev | INFO    | DELETE operation request ...
[26-02-2022 18:52:46] | dev | INFO    | Classes have been mapped
